method, synset, synset_gloss, domain_label, id,
found exact match, racing.n.01; evacuate.v.02 ,"  empty completely; ""evacuate the bottle"" ", Racing , 00449295
found exact match, electricity.n.01 ,  a physical phenomenon associated with stationary or moving electrons and protons , Electricity , 11449907
found exact match, architecture.n.03 ,  the profession of designing buildings and environments with consideration for their esthetic effect , Architecture , 00610738
found exact match, animal_husbandry.n.01 ,  breeding and caring for farm animals , Animal Husbandry , 00917211
found exact match, golf.n.01; golf_game.n.01 ,  a game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes , Golf , 00464894
found exact match, photography.n.02 ,  the process of producing images of objects on photosensitive surfaces , Photography , 13536794
found exact match, telephone.n.02; telephony.n.01 ,  transmitting speech at a distance , Telephony , 06272290
found exact match, chemical_science.n.01; chemistry.n.01 ,  the science of matter; the branch of the natural sciences dealing with the composition of substances and their properties and reactions , Chemistry , 06084469
found exact match, philosophy.n.02 ,  the rational investigation of questions about existence and knowledge and ethics , Philosophy , 06158346
found exact match, bowling.n.01 ,  a game in which balls are rolled at an object or group of objects with the aim of knocking them over or moving them , Bowling , 00461782
found exact match, industry.n.02; manufacture.n.01 ,"  the organized action of making of goods and services for sale; ""American industry is making increased use of computers to control production"" ", Industry , 00923444
found exact match, chess.n.02; chess_game.n.01 ,  a board game for two players who move their 16 pieces according to specific rules; the object is to checkmate the opponent's king , Chess , 00503237
found exact match, anthropology.n.01 ,  the social science that studies the origins and social relationships of human beings , Anthropology , 06143546
found exact match, mountain_climbing.n.01; mountaineering.n.01 ,  the activity of climbing a mountain , Mountaineering , 00325785
found exact match, didactics.n.01; education.n.01; educational_activity.n.01; instruction.n.02; pedagogy.n.03; teaching.n.03 ,"  the activities of educating or instructing; activities that impart knowledge or skill; ""he received no formal education""; ""our instruction was carefully programmed""; ""good classroom teaching is seldom rewarded"" ", Pedagogy , 00883297
found exact match, medicine.n.03; practice_of_medicine.n.01 ,"  the learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating or curing diseases and injuries; ""he studied medicine at Harvard"" ", Medicine , 00612160
found exact match, administration.n.05; governance.n.02; governing.n.01; government.n.02; government_activity.n.01 ,"  the act of governing; exercising authority; ""regulations for the governing of state prisons""; ""he had considerable experience of government"" ", Administration , 01124794
found exact match, photography.n.01; picture_taking.n.01 ,  the act of taking and printing photographs , Photography , 00903559
found exact match, commerce.n.01; commercialism.n.01; mercantilism.n.02 ,  transactions (sales and purchases) having the objective of supplying commodities (goods and services) , Commerce , 01090446
found exact match, archaeology.n.01; archeology.n.01 ,  the branch of anthropology that studies prehistoric people and their cultures , Archaeology , 06144081
found exact match, dance.n.03; dancing.n.01; saltation.n.04; terpsichore.n.02 ,  taking a series of rhythmical steps (and movements) in time to music , Dance , 00428270
found exact match, euphony.n.01; music.n.02 ,"  any agreeable (pleasing and harmonious) sounds; ""he fell asleep to the music of the wind chimes"" ", Music , 05718556
found exact match, bowling.n.03 ,  the playing of a game of tenpins or duckpins etc , Bowling , 00041740
found exact match, mechanics.n.01 ,  the branch of physics concerned with the motion of bodies in a frame of reference , Mechanics , 06100236
found exact match, telecom.n.01; telecommunication.n.01 ,  (often plural) systems used in transmitting messages over a distance electronically , Telecommunication , 06271778
found exact match, dance.n.01 ,  an artistic form of nonverbal communication , Dance , 07020538
found exact match, geometry.n.01 ,  the pure mathematics of points and lines and curves and surfaces , Geometry , 06004685
found exact match, jurisprudence.n.02; law.n.01 ,"  the collection of rules imposed by authority; ""civilization presupposes respect for the law""; ""the great problem for jurisprudence to allow freedom while enforcing order"" ", Law , 08441203
found exact match, lawn_tennis.n.01; tennis.n.01 ,  a game played with rackets by two or four players who hit a ball back and forth over a net that divides the court , Tennis , 00482298
found exact match, dental_medicine.n.01; dentistry.n.01; odontology.n.01 ,  the branch of medicine dealing with the anatomy and development and diseases of the teeth , Dentistry , 06047430
found exact match, music.n.04 ,  (music) the sounds produced by singers or musical instruments (or reproductions of such sounds) , Music , 05718935
found exact match, grammar.n.01 ,  the branch of linguistics that deals with syntax and morphology (and sometimes also deals with semantics) , Grammar , 06174404
found exact match, biochemistry.n.01 ,  the organic chemistry of compounds and processes occurring in organisms; the effort to understand biology within the context of chemistry , Biochemistry , 06079620
found exact match, music.n.01 ,  an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner , Music , 07020895
found exact match, baseball.n.01; baseball_game.n.01 ,"  a ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs; ""he played baseball in high school""; ""there was a baseball game on every empty lot""; ""there was a desire for National League ball in the area""; ""play ball!"" ", Baseball , 00471613
found exact match, folklore.n.01 ,  the unwritten lore (stories and proverbs and riddles and songs) of a culture , Folklore , 05985602
found exact match, agriculture.n.02; farming.n.01; husbandry.n.01 ,  the practice of cultivating the land or raising stock , Agriculture , 00916464
